-27309.2	293863	-0.0929316	0	0	0
-12291.1	266477	-0.0461244	0	0	0
-21695.1	262106	-0.0827723	0	0	0
-19247.1	235658	-0.0816737	0	0	0
-21088.4	254729	-0.0827878	0	0	0
-26618.5	252984	-0.105218	0	0	0
-28215.7	258682	-0.109075	0	0	0
-33396.7	335521	-0.0995369	0	0	0
-33252.9	336081	-0.0989431	0	0	0
-33386.8	335392	-0.0995456	0	0	0
-30929.8	330225	-0.0936628	0	0	0
-28985.4	323804	-0.0895153	0	0	0
-24277	278386	-0.0872063	0	0	0
-27602.8	261080	-0.105725	0	0	0
-26303.9	279461	-0.0941236	0	0	0
-17302.3	268295	-0.0644898	0	0	0
-7642.62	134062	-0.0570081	0	0	0
-5992.76	124703	-0.0480563	0	0	0
-9445.14	130107	-0.0725952	0	0	0
-6589.82	130721	-0.0504114	0	0	0
-9346.45	130539	-0.0715989	0	0	0
-12547	201187	-0.062365	0	0	0
-32328.5	302437	-0.106893	0	0	0
-30844.2	292117	-0.105588	0	0	0
-30163.7	270124	-0.111666	0	0	0
-30529.4	279748	-0.109132	0	0	0
-34801.5	305591	-0.113883	0	0	0
-29588	324889	-0.0910711	0	0	0
-29585.2	325379	-0.0909254	0	0	0
-29605.9	326012	-0.0908122	0	0	0
-28725.2	324817	-0.0884349	0	0	0
-28823.4	325783	-0.0884741	0	0	0
-27886.6	284212	-0.0981191	0	0	0
-22802.1	341238	-0.0668216	0	0	0
-29601	329035	-0.089963	0	0	0
-28070	309501	-0.0906943	0	0	0
-24630.1	336470	-0.0732013	0	0	0
-28626.3	137397	-0.208347	0	0	0
-32899.9	137442	-0.239373	0	0	0
-35217.9	168816	-0.208617	0	0	0
-32082.9	133417	-0.240471	0	0	0
-39315.8	156616	-0.251033	0	0	0
-32821	277533	-0.11826	0	0	0
-37531.5	277142	-0.135423	0	0	0
-36518.6	277412	-0.13164	0	0	0
-35503.8	282801	-0.125543	0	0	0
-36081.8	277879	-0.129847	0	0	0
-23675.3	331433	-0.071433	0	0	0
-36340.3	272993	-0.133118	0	0	0
-33110.2	283105	-0.116954	0	0	0
-37250.3	272563	-0.136667	0	0	0
-36833.2	273023	-0.134909	0	0	0
-34611.6	271447	-0.127508	0	0	0
-30114.4	299068	-0.100694	0	0	0
-30114.4	299068	-0.100694	0	0	0
-30114.4	299068	-0.100694	0	0	0
-30114.4	299068	-0.100694	0	0	0
-30114.4	299068	-0.100694	0	0	0
-32756	332550	-0.0984995	0	0	0
-32889.8	333576	-0.0985975	0	0	0
-33529.8	334704	-0.100177	0	0	0
-33739.8	330722	-0.102019	0	0	0
-34052.4	332147	-0.102522	0	0	0
-33092	222553	-0.148693	0	0	0
-37179.8	235787	-0.157684	0	0	0
-36069.3	276834	-0.130292	0	0	0
-37177.2	272443	-0.136459	0	0	0
-37922.9	277037	-0.136888	0	0	0
-26291	353645	-0.0743429	0	0	0
-21197.5	302801	-0.0700049	0	0	0
-43651.3	230264	-0.189571	0	0	0
-43153.7	224954	-0.191833	0	0	0
-40855.7	213969	-0.190942	0	0	0
-42218.7	225138	-0.187524	0	0	0
-42276.4	303738	-0.139187	0	0	0
-18048.7	293722	-0.0614481	0	0	0
-18641.4	312699	-0.0596147	0	0	0
-17276.9	303061	-0.057008	0	0	0
-16892.9	301252	-0.0560757	0	0	0
-18679	291305	-0.0641217	0	0	0
-31723.3	318275	-0.0996725	0	0	0
-30345.1	316853	-0.0957702	0	0	0
-28889.1	271125	-0.106553	0	0	0
-30988.7	319342	-0.0970393	0	0	0
-28891.8	277412	-0.104148	0	0	0
-21604.3	304293	-0.0709984	0	0	0
-28044.4	263713	-0.106344	0	0	0
-25136.5	323323	-0.0777441	0	0	0
-23365.4	368833	-0.0633496	0	0	0
-20425.3	323299	-0.0631776	0	0	0
-31411.9	325974	-0.0963631	0	0	0
-31181.9	332993	-0.0936413	0	0	0
-33886.9	327043	-0.103616	0	0	0
-33178.5	325320	-0.101987	0	0	0
-27943.7	325087	-0.0859577	0	0	0
-34068.3	281906	-0.12085	0	0	0
-34861.5	289342	-0.120485	0	0	0
-35136.8	277609	-0.126569	0	0	0
-32639	285599	-0.114283	0	0	0
-35419.7	295729	-0.119771	0	0	0
-33176.3	259477	-0.127859	0	0	0
-31139.9	255423	-0.121915	0	0	0
-31476.7	269926	-0.116612	0	0	0
-26292.5	206932	-0.127059	0	0	0
-30415.1	212928	-0.142842	0	0	0
-29555.2	322118	-0.0917528	0	0	0
-29430.2	325030	-0.090546	0	0	0
-30530.3	311853	-0.0978996	0	0	0
-30264.5	316537	-0.0956112	0	0	0
-29620	381217	-0.0776986	0	0	0
-29555.2	322118	-0.0917528	0	0	0
-29430.2	325030	-0.090546	0	0	0
-30530.3	311853	-0.0978996	0	0	0
-30264.5	316537	-0.0956112	0	0	0
-29620	381217	-0.0776986	0	0	0
