R1117TS029_1.pdb;-18757.281147
R1117TS029_2.pdb;-16834.984119
R1117TS035_1.pdb;-15362.813273
R1117TS035_2.pdb;-16832.833804
R1117TS035_3.pdb;-16737.010320
R1117TS035_4.pdb;-16616.431370
R1117TS035_5.pdb;-16670.735661
R1117TS046_1.pdb;-15362.813273
R1117TS046_2.pdb;-16832.833804
R1117TS046_3.pdb;-16737.010320
R1117TS046_4.pdb;-16616.431370
R1117TS046_5.pdb;-16670.735661
R1117TS054_1.pdb;-19384.659981
R1117TS054_2.pdb;-20244.118496
R1117TS054_3.pdb;-21253.714866
R1117TS054_4.pdb;-19909.096119
R1117TS054_5.pdb;-18914.240356
R1117TS076_1.pdb;-20720.280080
R1117TS076_2.pdb;-21022.405807
R1117TS076_3.pdb;-20826.614243
R1117TS076_4.pdb;-20265.179400
R1117TS076_5.pdb;-21002.731814
R1117TS081_1.pdb;-20647.758980
R1117TS081_2.pdb;-19807.456740
R1117TS081_3.pdb;-18785.335521
R1117TS081_4.pdb;-18413.215230
R1117TS081_5.pdb;-18478.724329
R1117TS091_1.pdb;-6784.295080
R1117TS091_2.pdb;-7832.279855
R1117TS091_3.pdb;-7642.738612
R1117TS091_4.pdb;-7822.570817
R1117TS091_5.pdb;-8813.326343
R1117TS097_1.pdb;-11901.667281
R1117TS110_1.pdb;-20325.934672
R1117TS110_2.pdb;-20356.798883
R1117TS110_3.pdb;-20838.102198
R1117TS110_4.pdb;-20373.604776
R1117TS110_5.pdb;-21066.376763
R1117TS119_1.pdb;-20233.582516
R1117TS119_2.pdb;-20711.989093
R1117TS119_3.pdb;-18288.019822
R1117TS119_4.pdb;-20006.705894
R1117TS119_5.pdb;-19919.543028
R1117TS125_1.pdb;-19564.747299
R1117TS125_2.pdb;-18882.083446
R1117TS125_3.pdb;-19040.558192
R1117TS125_4.pdb;-19239.258692
R1117TS125_5.pdb;-18693.388250
R1117TS128_1.pdb;-20332.878359
R1117TS128_2.pdb;-20378.570297
R1117TS128_3.pdb;-20216.126314
R1117TS128_4.pdb;-21920.613741
R1117TS128_5.pdb;-21507.079116
R1117TS131_1.pdb;-13440.163374
R1117TS131_2.pdb;-18247.332601
R1117TS131_3.pdb;-19431.997944
R1117TS131_4.pdb;-12558.711617
R1117TS131_5.pdb;-19890.740468
R1117TS147_1.pdb;-17567.999151
R1117TS147_2.pdb;-17991.145253
R1117TS147_3.pdb;-18794.425202
R1117TS147_4.pdb;-17096.424633
R1117TS147_5.pdb;-17443.797152
R1117TS163_1.pdb;-19356.890152
R1117TS163_2.pdb;-19356.890152
R1117TS163_3.pdb;-18045.390126
R1117TS163_4.pdb;-13284.241348
R1117TS163_5.pdb;-20281.916606
R1117TS177_1.pdb;-19386.194077
R1117TS185_1.pdb;-20836.968751
R1117TS185_2.pdb;-19969.967649
R1117TS185_3.pdb;-19388.446423
R1117TS185_4.pdb;-19646.810356
R1117TS185_5.pdb;-21269.303931
R1117TS227_1.pdb;-18087.070439
R1117TS227_2.pdb;-17899.405850
R1117TS227_3.pdb;-16635.685552
