1q96C_M145.pdb     -94.833591 kBT
1q96C_M346.pdb     -100.216269 kBT
1q96C_M78.pdb     -106.088223 kBT
1q96C_M355.pdb     -101.188425 kBT
1q96C_M159.pdb     -102.860098 kBT
1q96C_M65.pdb     -117.965706 kBT
1q96C_M140.pdb     -124.560103 kBT
1q96C_M471.pdb     -82.667892 kBT
1q96C_M8.pdb     -142.837604 kBT
1q96C_M35.pdb     -132.194654 kBT
1q96C_M87.pdb     -151.527988 kBT
1q96C_M397.pdb     -102.113420 kBT
1q96C_M29.pdb     -144.761772 kBT
1q96C_M51.pdb     -131.495135 kBT
1q96C_M176.pdb     -123.309739 kBT
1q96C_M402.pdb     -122.411558 kBT
1q96C_M263.pdb     -98.661632 kBT
1q96C_M424.pdb     -117.693855 kBT
1q96C_M368.pdb     -104.351490 kBT
1q96C_M370.pdb     -106.442675 kBT
1q96C_M286.pdb     -116.627936 kBT
1q96C_M111.pdb     -132.545206 kBT
1q96C_M177.pdb     -97.817407 kBT
1q96C_M479.pdb     -114.600765 kBT
1q96C_M109.pdb     -100.795461 kBT
1q96C_M409.pdb     -75.671532 kBT
1q96C_M469.pdb     -122.297857 kBT
1q96C_M456.pdb     -104.186109 kBT
1q96C_M353.pdb     -107.780018 kBT
1q96C_M358.pdb     -102.198419 kBT
1q96C_M427.pdb     -110.054286 kBT
1q96C_M335.pdb     -100.396422 kBT
1q96C_M413.pdb     -109.568431 kBT
1q96C_M171.pdb     -105.647526 kBT
1q96C_M49.pdb     -115.047276 kBT
1q96C_M230.pdb     -103.911679 kBT
1q96C_M52.pdb     -128.596459 kBT
1q96C_M278.pdb     -96.582264 kBT
1q96C_M82.pdb     -131.901717 kBT
1q96C_M92.pdb     -114.980309 kBT
1q96C_M279.pdb     -97.040276 kBT
1q96C_M71.pdb     -154.648582 kBT
1q96C_M48.pdb     -121.499737 kBT
1q96C_M329.pdb     -80.309677 kBT
1q96C_M291.pdb     -105.937536 kBT
1q96C_M293.pdb     -96.860799 kBT
1q96C_M492.pdb     -119.043084 kBT
1q96C_M267.pdb     -109.592157 kBT
1q96C_M204.pdb     -115.521113 kBT
1q96C_M187.pdb     -101.644860 kBT
1q96C_M272.pdb     -101.030289 kBT
1q96C_M221.pdb     -111.341658 kBT
1q96C_M356.pdb     -67.989272 kBT
1q96C_M475.pdb     -97.683102 kBT
1q96C_M129.pdb     -108.376434 kBT
1q96C_M392.pdb     -107.237367 kBT
1q96C_M449.pdb     -93.478713 kBT
1q96C_M186.pdb     -105.744475 kBT
1q96C_M382.pdb     -118.156633 kBT
1q96C_M55.pdb     -125.834118 kBT
1q96C_M314.pdb     -101.388555 kBT
1q96C_M164.pdb     -86.949995 kBT
1q96C_M257.pdb     -94.179831 kBT
1q96C_M323.pdb     -101.113305 kBT
