R1156TS029_1.pdb;-79848.270758
R1156TS029_2.pdb;-87973.332707
R1156TS029_3.pdb;-83656.150505
R1156TS029_4.pdb;-90093.025565
R1156TS029_5.pdb;-89631.085763
R1156TS035_1.pdb;-110656.795498
R1156TS035_2.pdb;-111578.120079
R1156TS035_3.pdb;-112085.514904
R1156TS035_4.pdb;-110952.896907
R1156TS035_5.pdb;-109459.520640
R1156TS054_1.pdb;-107624.656700
R1156TS054_2.pdb;-106580.701867
R1156TS054_3.pdb;-108659.168130
R1156TS054_4.pdb;-105395.692301
R1156TS054_5.pdb;-106145.591545
R1156TS076_1.pdb;-107995.526174
R1156TS076_2.pdb;-107632.009542
R1156TS076_3.pdb;-109385.184522
R1156TS076_4.pdb;-104996.232748
R1156TS076_5.pdb;-111182.894760
R1156TS081_1.pdb;-96386.019175
R1156TS081_2.pdb;-100594.418558
R1156TS081_3.pdb;-100748.045811
R1156TS081_4.pdb;-99518.919419
R1156TS081_5.pdb;-100399.488388
R1156TS091_1.pdb;-54969.821650
R1156TS091_2.pdb;-51628.419281
R1156TS091_3.pdb;-50493.341923
R1156TS091_4.pdb;-53747.209718
R1156TS091_5.pdb;-53214.217367
R1156TS097_1.pdb;-51343.984960
R1156TS097_2.pdb;-49428.957271
R1156TS097_3.pdb;-50448.699133
R1156TS110_1.pdb;-106627.984938
R1156TS110_2.pdb;-107300.086953
R1156TS110_3.pdb;-105732.071128
R1156TS110_4.pdb;-99120.124864
R1156TS110_5.pdb;-92311.924017
R1156TS119_1.pdb;-108407.175461
R1156TS119_2.pdb;-106978.953712
R1156TS119_3.pdb;-113705.043081
R1156TS119_4.pdb;-108657.712660
R1156TS119_5.pdb;-112893.725955
R1156TS125_1.pdb;-104588.833992
R1156TS125_2.pdb;-105393.963289
R1156TS125_3.pdb;-107605.406611
R1156TS125_4.pdb;-105395.692301
R1156TS125_5.pdb;-97050.777740
R1156TS128_1.pdb;-106794.373589
R1156TS128_2.pdb;-106691.251895
R1156TS128_3.pdb;-110292.406432
R1156TS128_4.pdb;-110714.373936
R1156TS128_5.pdb;-97567.569020
R1156TS131_1.pdb;-60163.813931
R1156TS131_2.pdb;-65395.021626
R1156TS131_3.pdb;-64140.702285
R1156TS131_4.pdb;-82237.746557
R1156TS131_5.pdb;-84434.547569
R1156TS147_1.pdb;-93634.085662
R1156TS147_2.pdb;-104865.758758
R1156TS147_3.pdb;-96029.403098
R1156TS147_4.pdb;-101061.889251
R1156TS147_5.pdb;-96754.087843
R1156TS177_1.pdb;-115245.451300
R1156TS185_1.pdb;-80667.515032
R1156TS185_2.pdb;-82953.744529
R1156TS185_3.pdb;-91535.170525
R1156TS185_4.pdb;-83642.727579
R1156TS185_5.pdb;-88272.145629
R1156TS227_1.pdb;-100066.135412
R1156TS227_2.pdb;-98857.169098
R1156TS227_3.pdb;-99284.035678
R1156TS227_4.pdb;-96243.843063
R1156TS227_5.pdb;-100568.590077
R1156TS229_1.pdb;-105343.868638
R1156TS229_2.pdb;-105988.778356
R1156TS229_3.pdb;-91962.587230
R1156TS229_4.pdb;-90946.323071
R1156TS229_5.pdb;-89165.347492
R1156TS232_1.pdb;-116266.438832
R1156TS232_2.pdb;-114199.551575
R1156TS232_3.pdb;-112597.858440
R1156TS232_4.pdb;-113897.338711
R1156TS232_5.pdb;-118113.742078
R1156TS235_1.pdb;-105635.365251
R1156TS235_2.pdb;-106958.721942
R1156TS235_3.pdb;-102154.634997
R1156TS235_4.pdb;-105538.440212
R1156TS235_5.pdb;-101738.666845
R1156TS238_1.pdb;-77402.661089
R1156TS238_2.pdb;-48061.575250
R1156TS238_3.pdb;-73994.349768
R1156TS238_4.pdb;-65145.630480
R1156TS238_5.pdb;-68572.255122
R1156TS239_1.pdb;-105343.868638
R1156TS239_2.pdb;-108604.332580
R1156TS239_3.pdb;-89165.347492
R1156TS239_4.pdb;-90640.532271
R1156TS239_5.pdb;-91962.587230
R1156TS245_1.pdb;-65469.960271
R1156TS245_2.pdb;-67919.353665
R1156TS245_3.pdb;-67878.859875
R1156TS245_4.pdb;-77532.513474
