1s03B.pdb -36604.243201  
1s03B.rmsd 0.000000  
1s03B_M1.pdb -34675.602166  
1s03B_M10.pdb -34365.655876  
1s03B_M100.pdb -29087.339634  
1s03B_M101.pdb -30132.623401  
1s03B_M102.pdb -29139.706328  
1s03B_M103.pdb -29850.046674  
1s03B_M104.pdb -29330.495337  
1s03B_M105.pdb -29964.904527  
1s03B_M106.pdb -30765.813082  
1s03B_M107.pdb -29750.354253  
1s03B_M108.pdb -29400.631490  
1s03B_M109.pdb -29705.760680  
1s03B_M11.pdb -34633.645458  
1s03B_M110.pdb -29066.730220  
1s03B_M111.pdb -29724.398008  
1s03B_M112.pdb -29980.127859  
1s03B_M113.pdb -30264.885851  
1s03B_M114.pdb -30008.043999  
1s03B_M115.pdb -29205.668270  
1s03B_M116.pdb -29465.799628  
1s03B_M117.pdb -29680.222298  
1s03B_M118.pdb -30395.740901  
1s03B_M119.pdb -30632.641962  
1s03B_M12.pdb -34412.896743  
1s03B_M120.pdb -29252.871098  
1s03B_M121.pdb -28772.912899  
1s03B_M122.pdb -28165.477951  
1s03B_M123.pdb -30427.120055  
1s03B_M124.pdb -29426.326799  
1s03B_M125.pdb -28749.118578  
1s03B_M126.pdb -30331.544114  
1s03B_M127.pdb -28052.549260  
1s03B_M128.pdb -28889.883396  
1s03B_M129.pdb -29684.472279  
1s03B_M13.pdb -33741.790087  
1s03B_M130.pdb -30219.000432  
1s03B_M131.pdb -29463.728179  
1s03B_M132.pdb -28435.921163  
1s03B_M133.pdb -28627.940321  
1s03B_M134.pdb -28104.874160  
1s03B_M135.pdb -29035.226508  
1s03B_M136.pdb -28896.161858  
1s03B_M137.pdb -28705.881835  
1s03B_M138.pdb -28932.004002  
1s03B_M139.pdb -28583.096999  
1s03B_M14.pdb -34170.344984  
1s03B_M140.pdb -28409.231640  
1s03B_M141.pdb -28183.040727  
1s03B_M142.pdb -28097.262485  
1s03B_M143.pdb -28615.429788  
1s03B_M144.pdb -28732.987592  
1s03B_M145.pdb -28498.163478  
1s03B_M146.pdb -29681.517042  
1s03B_M147.pdb -29198.961172  
1s03B_M148.pdb -28562.777970  
1s03B_M149.pdb -27948.697758  
1s03B_M15.pdb -34572.134022  
1s03B_M150.pdb -28962.648858  
1s03B_M151.pdb -28624.128984  
1s03B_M152.pdb -29858.856336  
1s03B_M153.pdb -28342.586407  
1s03B_M154.pdb -28140.957315  
1s03B_M155.pdb -28148.024178  
1s03B_M156.pdb -30036.970289  
1s03B_M157.pdb -29060.842703  
1s03B_M158.pdb -29747.702623  
1s03B_M159.pdb -28373.798316  
1s03B_M16.pdb -34422.882782  
1s03B_M160.pdb -29350.887038  
1s03B_M161.pdb -29121.684352  
1s03B_M162.pdb -28123.813705  
1s03B_M163.pdb -27557.438432  
1s03B_M164.pdb -29360.158273  
1s03B_M165.pdb -28425.670154  
1s03B_M166.pdb -29376.575110  
1s03B_M167.pdb -28343.799357  
1s03B_M168.pdb -28764.626077  
1s03B_M169.pdb -27414.570412  
1s03B_M17.pdb -34478.368574  
1s03B_M170.pdb -28741.804443  
1s03B_M171.pdb -28417.657695  
1s03B_M172.pdb -28429.179013  
1s03B_M173.pdb -27824.072051  
1s03B_M174.pdb -28071.399777  
1s03B_M175.pdb -27554.588884  
1s03B_M176.pdb -28978.679999  
1s03B_M177.pdb -28366.323213  
1s03B_M178.pdb -28582.033111  
1s03B_M179.pdb -28510.987205  
1s03B_M18.pdb -33606.840024  
1s03B_M180.pdb -29244.052087  
1s03B_M181.pdb -28135.333459  
1s03B_M182.pdb -26971.057725  
1s03B_M183.pdb -29826.342655  
1s03B_M184.pdb -29196.970188  
1s03B_M185.pdb -29404.362862  
1s03B_M186.pdb -29994.259513  
1s03B_M187.pdb -29381.084810  
1s03B_M188.pdb -28943.610504  
1s03B_M189.pdb -28782.057551  
1s03B_M19.pdb -33414.750606  
1s03B_M190.pdb -29334.679691  
1s03B_M191.pdb -28832.967125  
1s03B_M192.pdb -29534.604305  
1s03B_M193.pdb -28208.990399  
1s03B_M194.pdb -28809.571095  
1s03B_M195.pdb -27873.192103  
1s03B_M196.pdb -29094.998945  
1s03B_M197.pdb -27983.311778  
1s03B_M198.pdb -28033.613465  
1s03B_M199.pdb -27711.277226  
1s03B_M2.pdb -34509.193393  
1s03B_M20.pdb -33538.768226  
1s03B_M200.pdb -28640.532705  
1s03B_M201.pdb -27972.934270  
1s03B_M202.pdb -25967.376246  
1s03B_M203.pdb -28269.149253  
1s03B_M204.pdb -28389.982999  
1s03B_M205.pdb -27767.145913  
1s03B_M206.pdb -28256.190697  
1s03B_M207.pdb -28570.276296  
1s03B_M208.pdb -27001.295810  
1s03B_M209.pdb -27677.794464  
1s03B_M21.pdb -33528.065092  
1s03B_M210.pdb -28882.479222  
1s03B_M211.pdb -28512.692747  
1s03B_M212.pdb -28875.175495  
1s03B_M213.pdb -28468.879627  
1s03B_M214.pdb -28468.943923  
1s03B_M215.pdb -26691.549769  
1s03B_M216.pdb -27997.103532  
1s03B_M217.pdb -28513.390389  
1s03B_M218.pdb -28544.542200  
1s03B_M219.pdb -27501.484216  
1s03B_M22.pdb -34082.591248  
1s03B_M220.pdb -26920.402264  
1s03B_M221.pdb -28625.211038  
1s03B_M222.pdb -28444.740870  
1s03B_M223.pdb -27903.504136  
1s03B_M224.pdb -26608.099971  
1s03B_M225.pdb -27861.058380  
1s03B_M226.pdb -26968.778206  
1s03B_M227.pdb -26613.362102  
1s03B_M228.pdb -27330.395763  
1s03B_M229.pdb -28052.413835  
1s03B_M23.pdb -33017.897535  
1s03B_M230.pdb -28028.671834  
1s03B_M231.pdb -28000.919509  
1s03B_M232.pdb -27135.461437  
1s03B_M233.pdb -27582.388772  
1s03B_M234.pdb -28272.286738  
1s03B_M235.pdb -27958.115018  
1s03B_M236.pdb -27359.442873  
1s03B_M237.pdb -26973.136351  
1s03B_M238.pdb -26668.847926  
1s03B_M239.pdb -26498.692680  
1s03B_M24.pdb -33508.678129  
1s03B_M240.pdb -27871.097318  
1s03B_M241.pdb -27210.119181  
1s03B_M242.pdb -27975.776544  
1s03B_M243.pdb -28169.879876  
1s03B_M244.pdb -27062.839686  
1s03B_M245.pdb -27935.197009  
1s03B_M246.pdb -27673.267219  
1s03B_M247.pdb -28342.206288  
1s03B_M248.pdb -26736.242819  
1s03B_M249.pdb -28483.491704  
1s03B_M25.pdb -33636.173449  
1s03B_M250.pdb -28781.245431  
1s03B_M251.pdb -27534.371782  
1s03B_M252.pdb -25515.870692  
1s03B_M253.pdb -26510.815314  
1s03B_M254.pdb -27349.565096  
1s03B_M255.pdb -27347.529176  
1s03B_M256.pdb -27709.043459  
1s03B_M257.pdb -26784.776269  
1s03B_M258.pdb -28656.481697  
1s03B_M259.pdb -28396.107839  
1s03B_M26.pdb -33143.659127  
1s03B_M260.pdb -26451.642265  
1s03B_M261.pdb -27105.101420  
1s03B_M262.pdb -26574.425534  
1s03B_M263.pdb -27969.358991  
1s03B_M264.pdb -28141.914840  
1s03B_M265.pdb -26779.038208  
1s03B_M266.pdb -27715.202687  
1s03B_M267.pdb -28465.192738  
1s03B_M268.pdb -26696.638601  
1s03B_M269.pdb -28577.142631  
1s03B_M27.pdb -33222.431466  
1s03B_M270.pdb -25181.565501  
1s03B_M271.pdb -27939.482516  
1s03B_M272.pdb -26493.604493  
1s03B_M273.pdb -27397.291020  
1s03B_M274.pdb -27015.493923  
1s03B_M275.pdb -27213.674604  
1s03B_M276.pdb -26528.704612  
1s03B_M277.pdb -27010.718036  
1s03B_M278.pdb -28205.263931  
1s03B_M279.pdb -27584.747071  
1s03B_M28.pdb -33762.468809  
1s03B_M280.pdb -26700.194233  
1s03B_M281.pdb -27685.487928  
1s03B_M282.pdb -27716.510780  
1s03B_M283.pdb -27252.286872  
1s03B_M284.pdb -27461.280632  
1s03B_M285.pdb -26761.564000  
1s03B_M286.pdb -27923.070456  
1s03B_M287.pdb -26546.697002  
1s03B_M288.pdb -27812.431314  
1s03B_M289.pdb -25792.485876  
1s03B_M29.pdb -34015.458479  
1s03B_M290.pdb -26740.318192  
1s03B_M291.pdb -27642.311150  
1s03B_M292.pdb -26789.375083  
1s03B_M293.pdb -27004.843910  
1s03B_M294.pdb -27671.436878  
1s03B_M295.pdb -27230.336400  
1s03B_M296.pdb -28115.961806  
1s03B_M297.pdb -27403.570308  
1s03B_M298.pdb -25998.294280  
1s03B_M299.pdb -27681.512619  
1s03B_M3.pdb -34547.415838  
1s03B_M30.pdb -32963.633669  
1s03B_M300.pdb -26362.493150  
1s03B_M301.pdb -26946.748470  
1s03B_M302.pdb -27406.015679  
1s03B_M303.pdb -27808.868569  
1s03B_M304.pdb -25344.999938  
1s03B_M305.pdb -27879.529157  
1s03B_M306.pdb -27260.541566  
1s03B_M307.pdb -26107.841468  
1s03B_M308.pdb -25200.282053  
1s03B_M309.pdb -27895.750793  
1s03B_M31.pdb -32128.326707  
1s03B_M310.pdb -27003.090512  
1s03B_M311.pdb -26166.260236  
1s03B_M312.pdb -27964.329989  
1s03B_M313.pdb -27518.142339  
1s03B_M314.pdb -27319.186423  
1s03B_M315.pdb -26672.132335  
1s03B_M316.pdb -27085.572529  
1s03B_M317.pdb -28469.328813  
1s03B_M318.pdb -25975.081024  
1s03B_M319.pdb -26603.591753  
1s03B_M32.pdb -32950.501132  
1s03B_M320.pdb -27353.607420  
1s03B_M321.pdb -27912.073549  
1s03B_M322.pdb -26948.807865  
1s03B_M323.pdb -26796.102573  
1s03B_M324.pdb -26876.453167  
1s03B_M325.pdb -26305.540700  
1s03B_M326.pdb -27187.377296  
1s03B_M327.pdb -26869.138378  
1s03B_M328.pdb -26996.555857  
1s03B_M329.pdb -27663.800752  
1s03B_M33.pdb -32389.501198  
1s03B_M330.pdb -26695.306935  
1s03B_M331.pdb -26956.604258  
1s03B_M332.pdb -27282.224440  
1s03B_M333.pdb -26738.012795  
1s03B_M334.pdb -26159.256375  
1s03B_M335.pdb -27189.319894  
1s03B_M336.pdb -27013.232299  
1s03B_M337.pdb -25193.829580  
1s03B_M338.pdb -26676.405448  
1s03B_M339.pdb -25844.839327  
1s03B_M34.pdb -32465.111091  
1s03B_M340.pdb -27115.827443  
1s03B_M341.pdb -26957.359798  
1s03B_M342.pdb -26836.077134  
1s03B_M343.pdb -27352.358592  
1s03B_M344.pdb -26518.795158  
1s03B_M345.pdb -27941.467491  
1s03B_M346.pdb -26947.410681  
1s03B_M347.pdb -28197.151949  
1s03B_M348.pdb -26564.817640  
1s03B_M349.pdb -27139.316007  
1s03B_M35.pdb -32511.942336  
1s03B_M350.pdb -27104.588276  
1s03B_M351.pdb -25421.316600  
1s03B_M352.pdb -26145.196484  
1s03B_M353.pdb -27373.583522  
1s03B_M354.pdb -26894.080102  
1s03B_M355.pdb -27503.687285  
1s03B_M356.pdb -26570.610064  
1s03B_M357.pdb -26589.705240  
1s03B_M358.pdb -26703.044799  
1s03B_M359.pdb -26886.426786  
1s03B_M36.pdb -32504.061244  
1s03B_M360.pdb -26008.480755  
1s03B_M361.pdb -26880.353471  
1s03B_M362.pdb -24590.767840  
1s03B_M363.pdb -26920.227361  
1s03B_M364.pdb -26423.794098  
1s03B_M365.pdb -27129.169984  
1s03B_M366.pdb -27397.143227  
1s03B_M367.pdb -27778.214614  
1s03B_M368.pdb -26435.868647  
1s03B_M369.pdb -25784.416579  
